"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 01 16:11:34 GMT 2023","Tue Aug 01 16:11:35 GMT 2023","936","","test_login_UI","TestLoginPopUp","","","test_email_field_visual_representation_n3_4","Verifying that when an error occurs, the email field's border color turns red, and the associated labels also turn red."
"passed","Tue Aug 01 16:11:24 GMT 2023","Tue Aug 01 16:11:30 GMT 2023","5809","","test_login_UI","TestLoginPopUp","","","test_login_close_button_n2_1","Verifying, that clicking on the cross button ensures that the login pop up is closed."
"passed","Tue Aug 01 16:11:12 GMT 2023","Tue Aug 01 16:11:12 GMT 2023","343","","test_api_login","TestRegister","","","test_user_register_empty_fields[password]",""
"passed","Tue Aug 01 16:11:22 GMT 2023","Tue Aug 01 16:11:22 GMT 2023","94","","test_api_login","TestAuth","","","test_check_user_profile",""
"passed","Tue Aug 01 16:11:08 GMT 2023","Tue Aug 01 16:11:09 GMT 2023","1280","","test_api_and_UI","TestCarsUI","","","test_auto_delete","create car via APi. delete car via WEB UI and check it removed via API"
"passed","Tue Aug 01 16:11:47 GMT 2023","Tue Aug 01 16:11:48 GMT 2023","1029","","test_login_UI","TestLoginPopUp","","","test_login_p1_1","check for successful login with valid credentials"
"passed","Tue Aug 01 16:11:05 GMT 2023","Tue Aug 01 16:11:07 GMT 2023","1338","","test_api_and_UI","TestCarsUI","","","test_auto_create","Create car via WEB UI and check it values via API"
"passed","Tue Aug 01 16:11:33 GMT 2023","Tue Aug 01 16:11:34 GMT 2023","566","","test_login_UI","TestLoginPopUp","","","test_unregistered_email_login_n3_3","Verifying that when an email that isn`t registered with the site is entered and the form is submitted, an error message appears stating 'Wrong email or password'"
"passed","Tue Aug 01 16:11:14 GMT 2023","Tue Aug 01 16:11:14 GMT 2023","340","","test_api_login","TestRegister","","","test_user_register_wrong_password[t1T]",""
"passed","Tue Aug 01 16:11:13 GMT 2023","Tue Aug 01 16:11:13 GMT 2023","344","","test_api_login","TestRegister","","","test_user_register_wrong_lastname",""
"passed","Tue Aug 01 16:11:14 GMT 2023","Tue Aug 01 16:11:15 GMT 2023","608","","test_api_login","TestRegister","","","test_user_register_wrong_password[tttttttttttttttttttt]",""
"passed","Tue Aug 01 16:11:07 GMT 2023","Tue Aug 01 16:11:08 GMT 2023","1438","","test_api_and_UI","TestCarsUI","","","test_auto_modify","modify Car via UI and then verify it updated via API"
"passed","Tue Aug 01 16:11:10 GMT 2023","Tue Aug 01 16:11:11 GMT 2023","1440","","test_api_login","TestRegister","","","test_user_register",""
"passed","Tue Aug 01 16:11:18 GMT 2023","Tue Aug 01 16:11:18 GMT 2023","669","","test_api_login","TestAuth","","","test_user_login",""
"passed","Tue Aug 01 16:11:32 GMT 2023","Tue Aug 01 16:11:32 GMT 2023","387","","test_login_UI","TestLoginPopUp","","","test_email_incorrect_n3_2","Verifying, that when an invalid email format (without '@' symbol) is entered and the form is submitted, an error message appears stating 'Email is incorrect'"
"passed","Tue Aug 01 16:11:36 GMT 2023","Tue Aug 01 16:11:36 GMT 2023","403","","test_login_UI","TestLoginPopUp","","","test_password_empty_n4_1","Verifying that when the password field is left empty and the form is submitted, an error message appears stating 'Password required'"
"passed","Tue Aug 01 16:11:12 GMT 2023","Tue Aug 01 16:11:13 GMT 2023","343","","test_api_login","TestRegister","","","test_user_register_empty_fields[repeatPassword]",""
"failed","Tue Aug 01 16:11:15 GMT 2023","Tue Aug 01 16:11:15 GMT 2023","348","","test_api_login","TestRegister","","","test_user_register_wrong_password[tttttttttt]",""
"passed","Tue Aug 01 16:11:15 GMT 2023","Tue Aug 01 16:11:15 GMT 2023","355","","test_api_login","TestRegister","","","test_user_register_passwords_do_not_match",""
"passed","Tue Aug 01 16:11:40 GMT 2023","Tue Aug 01 16:11:46 GMT 2023","5911","","test_login_UI","TestLoginPopUp","","","test_remember_me_checkbox_n5_1","Verifying that the 'Remember me' check box retains its selection state when the login pop up is closed and reopened."
"passed","Tue Aug 01 16:11:37 GMT 2023","Tue Aug 01 16:11:38 GMT 2023","1040","","test_login_UI","TestLoginPopUp","","","test_wrong_password_login_n4_2","Verifying that when an incorrect password is entered for a valid email and the form is submitted, an error message appears stating 'Wrong email or password.'"
"passed","Tue Aug 01 16:11:12 GMT 2023","Tue Aug 01 16:11:12 GMT 2023","353","","test_api_login","TestRegister","","","test_user_register_empty_fields[email]",""
"passed","Tue Aug 01 16:11:31 GMT 2023","Tue Aug 01 16:11:31 GMT 2023","354","","test_login_UI","TestLoginPopUp","","","test_email_empty_n3_1","Verifying, that when the email field is left empty and the form is submitted, an error message stating 'Email required' should appear"
