"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 31 17:52:52 GMT 2023","Mon Jul 31 17:52:54 GMT 2023","1751","","test_api_login","TestRegister","","","test_user_register",""
"passed","Mon Jul 31 17:53:39 GMT 2023","Mon Jul 31 17:53:41 GMT 2023","1229","","test_login_UI","TestLoginPopUp","","","test_login_mixedcase_sensitivity_p1_2","Verifying, that when entering a valid email and password combination and submitting, the login is successful, and the user is redirected to the appropriate page or dashboard."
"passed","Mon Jul 31 17:52:58 GMT 2023","Mon Jul 31 17:52:59 GMT 2023","554","","test_api_login","TestRegister","","","test_user_register_wrong_password[t1T]",""
"passed","Mon Jul 31 17:53:38 GMT 2023","Mon Jul 31 17:53:39 GMT 2023","1264","","test_login_UI","TestLoginPopUp","","","test_login_p1_1","check for successful login with valid credentials"
"passed","Mon Jul 31 17:52:59 GMT 2023","Mon Jul 31 17:53:00 GMT 2023","554","","test_api_login","TestRegister","","","test_user_register_wrong_password[tttttttttttttttttttt]",""
"passed","Mon Jul 31 17:52:57 GMT 2023","Mon Jul 31 17:52:57 GMT 2023","564","","test_api_login","TestRegister","","","test_user_register_wrong_name",""
"passed","Mon Jul 31 17:52:58 GMT 2023","Mon Jul 31 17:52:58 GMT 2023","561","","test_api_login","TestRegister","","","test_user_register_wrong_password[test]",""
"passed","Mon Jul 31 17:53:26 GMT 2023","Mon Jul 31 17:53:28 GMT 2023","1164","","test_login_UI","TestLoginPopUp","","","test_wrong_password_login_n4_2","Verifying that when an incorrect password is entered for a valid email and the form is submitted, an error message appears stating 'Wrong email or password.'"
"passed","Mon Jul 31 17:53:12 GMT 2023","Mon Jul 31 17:53:18 GMT 2023","5731","","test_login_UI","TestLoginPopUp","","","test_login_close_button_n2_1","Verifying, that clicking on the cross button ensures that the login pop up is closed."
"passed","Mon Jul 31 17:53:19 GMT 2023","Mon Jul 31 17:53:19 GMT 2023","393","","test_login_UI","TestLoginPopUp","","","test_email_empty_n3_1","Verifying, that when the email field is left empty and the form is submitted, an error message stating 'Email required' should appear"
"passed","Mon Jul 31 17:53:21 GMT 2023","Mon Jul 31 17:53:22 GMT 2023","667","","test_login_UI","TestLoginPopUp","","","test_unregistered_email_login_n3_3","Verifying that when an email that isn`t registered with the site is entered and the form is submitted, an error message appears stating 'Wrong email or password'"
"passed","Mon Jul 31 17:53:25 GMT 2023","Mon Jul 31 17:53:25 GMT 2023","457","","test_login_UI","TestLoginPopUp","","","test_password_empty_n4_1","Verifying that when the password field is left empty and the form is submitted, an error message appears stating 'Password required'"
"passed","Mon Jul 31 17:52:56 GMT 2023","Mon Jul 31 17:52:56 GMT 2023","572","","test_api_login","TestRegister","","","test_user_register_empty_fields[password]",""
"passed","Mon Jul 31 17:52:50 GMT 2023","Mon Jul 31 17:52:52 GMT 2023","1713","","test_api_and_UI","TestCarsUI","","","test_auto_delete","create car via APi. delete car via WEB UI and check it removed via API"
"passed","Mon Jul 31 17:53:03 GMT 2023","Mon Jul 31 17:53:04 GMT 2023","830","","test_api_login","TestAuth","","","test_user_login",""
"passed","Mon Jul 31 17:52:48 GMT 2023","Mon Jul 31 17:52:50 GMT 2023","1892","","test_api_and_UI","TestCarsUI","","","test_auto_modify","modify Car via UI and then verify it updated via API"
"passed","Mon Jul 31 17:53:00 GMT 2023","Mon Jul 31 17:53:01 GMT 2023","573","","test_api_login","TestRegister","","","test_user_register_passwords_do_not_match",""
"passed","Mon Jul 31 17:53:29 GMT 2023","Mon Jul 31 17:53:30 GMT 2023","978","","test_login_UI","TestLoginPopUp","","","test_password_field_visual_representation_n4_3","Verifying that when an error occurs, the password field's border color turns red, and the associated labels also turn red."
"passed","Mon Jul 31 17:52:54 GMT 2023","Mon Jul 31 17:52:55 GMT 2023","578","","test_api_login","TestRegister","","","test_user_register_empty_fields[name]",""
"passed","Mon Jul 31 17:53:09 GMT 2023","Mon Jul 31 17:53:09 GMT 2023","165","","test_api_login","TestAuth","","","test_check_user_profile",""
"passed","Mon Jul 31 17:53:07 GMT 2023","Mon Jul 31 17:53:08 GMT 2023","1222","","test_api_login","TestAuth","","","test_user_login_wrong_password",""
"passed","Mon Jul 31 17:53:31 GMT 2023","Mon Jul 31 17:53:37 GMT 2023","5946","","test_login_UI","TestLoginPopUp","","","test_remember_me_checkbox_n5_1","Verifying that the 'Remember me' check box retains its selection state when the login pop up is closed and reopened."
"passed","Mon Jul 31 17:52:47 GMT 2023","Mon Jul 31 17:52:48 GMT 2023","1498","","test_api_and_UI","TestCarsUI","","","test_auto_create","Create car via WEB UI and check it values via API"
"passed","Mon Jul 31 17:53:11 GMT 2023","Mon Jul 31 17:53:11 GMT 2023","136","","test_login_UI","TestLoginPopUp","","","test_login_form_title_n1_1","Verifying, that comparing the retrieving text value with the expected text 'Log in', to ensures it matches exactly."
"passed","Mon Jul 31 17:52:57 GMT 2023","Mon Jul 31 17:52:58 GMT 2023","561","","test_api_login","TestRegister","","","test_user_register_wrong_lastname",""
"passed","Mon Jul 31 17:53:23 GMT 2023","Mon Jul 31 17:53:24 GMT 2023","923","","test_login_UI","TestLoginPopUp","","","test_email_field_visual_representation_n3_4","Verifying that when an error occurs, the email field's border color turns red, and the associated labels also turn red."
"failed","Mon Jul 31 17:53:00 GMT 2023","Mon Jul 31 17:53:00 GMT 2023","544","","test_api_login","TestRegister","","","test_user_register_wrong_password[tttttttttt]",""
"passed","Mon Jul 31 17:53:20 GMT 2023","Mon Jul 31 17:53:20 GMT 2023","433","","test_login_UI","TestLoginPopUp","","","test_email_incorrect_n3_2","Verifying, that when an invalid email format (without '@' symbol) is entered and the form is submitted, an error message appears stating 'Email is incorrect'"
"passed","Mon Jul 31 17:53:05 GMT 2023","Mon Jul 31 17:53:06 GMT 2023","735","","test_api_login","TestAuth","","","test_user_login_wrong_email",""
"passed","Mon Jul 31 17:52:56 GMT 2023","Mon Jul 31 17:52:57 GMT 2023","548","","test_api_login","TestRegister","","","test_user_register_empty_fields[repeatPassword]",""
"passed","Mon Jul 31 17:52:55 GMT 2023","Mon Jul 31 17:52:56 GMT 2023","559","","test_api_login","TestRegister","","","test_user_register_empty_fields[email]",""
"passed","Mon Jul 31 17:52:55 GMT 2023","Mon Jul 31 17:52:55 GMT 2023","579","","test_api_login","TestRegister","","","test_user_register_empty_fields[lastName]",""
