"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 01 14:17:45 GMT 2023","Tue Aug 01 14:17:45 GMT 2023","290","","test_login_UI","TestLoginPopUp","","","test_login_form_title_n1_1","Verifying, that comparing the retrieving text value with the expected text 'Log in', to ensures it matches exactly."
"passed","Tue Aug 01 14:17:34 GMT 2023","Tue Aug 01 14:17:34 GMT 2023","340","","test_api_login","TestRegister","","","test_user_register_empty_fields[repeatPassword]",""
"passed","Tue Aug 01 14:17:30 GMT 2023","Tue Aug 01 14:17:31 GMT 2023","1267","","test_api_and_UI","TestCarsUI","","","test_auto_delete","create car via APi. delete car via WEB UI and check it removed via API"
"passed","Tue Aug 01 14:17:35 GMT 2023","Tue Aug 01 14:17:36 GMT 2023","413","","test_api_login","TestRegister","","","test_user_register_wrong_password[t1T]",""
"passed","Tue Aug 01 14:17:48 GMT 2023","Tue Aug 01 14:17:48 GMT 2023","381","","test_login_UI","TestLoginPopUp","","","test_email_incorrect_n3_2","Verifying, that when an invalid email format (without '@' symbol) is entered and the form is submitted, an error message appears stating 'Email is incorrect'"
"passed","Tue Aug 01 14:17:50 GMT 2023","Tue Aug 01 14:17:51 GMT 2023","823","","test_login_UI","TestLoginPopUp","","","test_email_field_visual_representation_n3_4","Verifying that when an error occurs, the email field's border color turns red, and the associated labels also turn red."
"passed","Tue Aug 01 14:17:33 GMT 2023","Tue Aug 01 14:17:34 GMT 2023","327","","test_api_login","TestRegister","","","test_user_register_empty_fields[email]",""
"passed","Tue Aug 01 14:17:35 GMT 2023","Tue Aug 01 14:17:35 GMT 2023","462","","test_api_login","TestRegister","","","test_user_register_wrong_lastname",""
"passed","Tue Aug 01 14:17:31 GMT 2023","Tue Aug 01 14:17:33 GMT 2023","1433","","test_api_login","TestRegister","","","test_user_register",""
"passed","Tue Aug 01 14:17:39 GMT 2023","Tue Aug 01 14:17:40 GMT 2023","669","","test_api_login","TestAuth","","","test_user_login",""
"passed","Tue Aug 01 14:17:35 GMT 2023","Tue Aug 01 14:17:35 GMT 2023","347","","test_api_login","TestRegister","","","test_user_register_wrong_password[test]",""
"passed","Tue Aug 01 14:17:40 GMT 2023","Tue Aug 01 14:17:41 GMT 2023","463","","test_api_login","TestAuth","","","test_user_login_wrong_email",""
"passed","Tue Aug 01 14:17:37 GMT 2023","Tue Aug 01 14:17:37 GMT 2023","333","","test_api_login","TestRegister","","","test_user_register_passwords_do_not_match",""
"passed","Tue Aug 01 14:17:56 GMT 2023","Tue Aug 01 14:18:02 GMT 2023","5859","","test_login_UI","TestLoginPopUp","","","test_remember_me_checkbox_n5_1","Verifying that the 'Remember me' check box retains its selection state when the login pop up is closed and reopened."
"passed","Tue Aug 01 14:17:33 GMT 2023","Tue Aug 01 14:17:33 GMT 2023","348","","test_api_login","TestRegister","","","test_user_register_empty_fields[lastName]",""
