"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 01 14:14:08 GMT 2023","Tue Aug 01 14:14:08 GMT 2023","803","","test_api_login","TestAuth","","","test_user_login",""
"passed","Tue Aug 01 14:14:28 GMT 2023","Tue Aug 01 14:14:28 GMT 2023","365","","test_login_UI","TestLoginPopUp","","","test_password_empty_n4_1","Verifying that when the password field is left empty and the form is submitted, an error message appears stating 'Password required'"
"passed","Tue Aug 01 14:14:00 GMT 2023","Tue Aug 01 14:14:01 GMT 2023","529","","test_api_login","TestRegister","","","test_user_register_empty_fields[password]",""
"passed","Tue Aug 01 14:14:15 GMT 2023","Tue Aug 01 14:14:21 GMT 2023","5706","","test_login_UI","TestLoginPopUp","","","test_login_close_button_n2_1","Verifying, that clicking on the cross button ensures that the login pop up is closed."
"passed","Tue Aug 01 14:13:58 GMT 2023","Tue Aug 01 14:13:59 GMT 2023","549","","test_api_login","TestRegister","","","test_user_register_empty_fields[name]",""
"passed","Tue Aug 01 14:13:59 GMT 2023","Tue Aug 01 14:14:00 GMT 2023","537","","test_api_login","TestRegister","","","test_user_register_empty_fields[email]",""
"passed","Tue Aug 01 14:14:14 GMT 2023","Tue Aug 01 14:14:15 GMT 2023","109","","test_login_UI","TestLoginPopUp","","","test_login_form_title_n1_1","Verifying, that comparing the retrieving text value with the expected text 'Log in', to ensures it matches exactly."
"passed","Tue Aug 01 14:14:41 GMT 2023","Tue Aug 01 14:14:42 GMT 2023","1070","","test_login_UI","TestLoginPopUp","","","test_login_mixedcase_sensitivity_p1_2","Verifying, that when entering a valid email and password combination and submitting, the login is successful, and the user is redirected to the appropriate page or dashboard."
"passed","Tue Aug 01 14:14:02 GMT 2023","Tue Aug 01 14:14:03 GMT 2023","547","","test_api_login","TestRegister","","","test_user_register_wrong_password[test]",""
"passed","Tue Aug 01 14:14:25 GMT 2023","Tue Aug 01 14:14:25 GMT 2023","546","","test_login_UI","TestLoginPopUp","","","test_unregistered_email_login_n3_3","Verifying that when an email that isn`t registered with the site is entered and the form is submitted, an error message appears stating 'Wrong email or password'"
"passed","Tue Aug 01 14:14:29 GMT 2023","Tue Aug 01 14:14:30 GMT 2023","1029","","test_login_UI","TestLoginPopUp","","","test_wrong_password_login_n4_2","Verifying that when an incorrect password is entered for a valid email and the form is submitted, an error message appears stating 'Wrong email or password.'"
"passed","Tue Aug 01 14:14:02 GMT 2023","Tue Aug 01 14:14:02 GMT 2023","548","","test_api_login","TestRegister","","","test_user_register_wrong_lastname",""
"failed","Tue Aug 01 14:14:04 GMT 2023","Tue Aug 01 14:14:04 GMT 2023","534","","test_api_login","TestRegister","","","test_user_register_wrong_password[tttttttttt]",""
"passed","Tue Aug 01 14:13:51 GMT 2023","Tue Aug 01 14:13:53 GMT 2023","1658","","test_api_and_UI","TestCarsUI","","","test_auto_create","Create car via WEB UI and check it values via API"
"passed","Tue Aug 01 14:14:39 GMT 2023","Tue Aug 01 14:14:40 GMT 2023","1099","","test_login_UI","TestLoginPopUp","","","test_login_p1_1","check for successful login with valid credentials"
"passed","Tue Aug 01 14:14:26 GMT 2023","Tue Aug 01 14:14:27 GMT 2023","811","","test_login_UI","TestLoginPopUp","","","test_email_field_visual_representation_n3_4","Verifying that when an error occurs, the email field's border color turns red, and the associated labels also turn red."
"passed","Tue Aug 01 14:14:03 GMT 2023","Tue Aug 01 14:14:04 GMT 2023","548","","test_api_login","TestRegister","","","test_user_register_wrong_password[tttttttttttttttttttt]",""
"passed","Tue Aug 01 14:14:33 GMT 2023","Tue Aug 01 14:14:38 GMT 2023","5800","","test_login_UI","TestLoginPopUp","","","test_remember_me_checkbox_n5_1","Verifying that the 'Remember me' check box retains its selection state when the login pop up is closed and reopened."
"passed","Tue Aug 01 14:14:09 GMT 2023","Tue Aug 01 14:14:10 GMT 2023","718","","test_api_login","TestAuth","","","test_user_login_wrong_email",""
"passed","Tue Aug 01 14:14:03 GMT 2023","Tue Aug 01 14:14:03 GMT 2023","550","","test_api_login","TestRegister","","","test_user_register_wrong_password[t1T]",""
"passed","Tue Aug 01 14:13:55 GMT 2023","Tue Aug 01 14:13:56 GMT 2023","1554","","test_api_and_UI","TestCarsUI","","","test_auto_delete","create car via APi. delete car via WEB UI and check it removed via API"
"passed","Tue Aug 01 14:14:11 GMT 2023","Tue Aug 01 14:14:12 GMT 2023","1179","","test_api_login","TestAuth","","","test_user_login_wrong_password",""
"passed","Tue Aug 01 14:14:01 GMT 2023","Tue Aug 01 14:14:02 GMT 2023","562","","test_api_login","TestRegister","","","test_user_register_wrong_name",""
"passed","Tue Aug 01 14:14:13 GMT 2023","Tue Aug 01 14:14:13 GMT 2023","155","","test_api_login","TestAuth","","","test_check_user_profile",""
"passed","Tue Aug 01 14:13:59 GMT 2023","Tue Aug 01 14:13:59 GMT 2023","540","","test_api_login","TestRegister","","","test_user_register_empty_fields[lastName]",""
"passed","Tue Aug 01 14:14:22 GMT 2023","Tue Aug 01 14:14:22 GMT 2023","303","","test_login_UI","TestLoginPopUp","","","test_email_empty_n3_1","Verifying, that when the email field is left empty and the form is submitted, an error message stating 'Email required' should appear"
"passed","Tue Aug 01 14:14:23 GMT 2023","Tue Aug 01 14:14:24 GMT 2023","330","","test_login_UI","TestLoginPopUp","","","test_email_incorrect_n3_2","Verifying, that when an invalid email format (without '@' symbol) is entered and the form is submitted, an error message appears stating 'Email is incorrect'"
"passed","Tue Aug 01 14:14:01 GMT 2023","Tue Aug 01 14:14:01 GMT 2023","553","","test_api_login","TestRegister","","","test_user_register_empty_fields[repeatPassword]",""
"passed","Tue Aug 01 14:13:57 GMT 2023","Tue Aug 01 14:13:58 GMT 2023","1705","","test_api_login","TestRegister","","","test_user_register",""
"passed","Tue Aug 01 14:14:04 GMT 2023","Tue Aug 01 14:14:05 GMT 2023","542","","test_api_login","TestRegister","","","test_user_register_passwords_do_not_match",""
"passed","Tue Aug 01 14:13:53 GMT 2023","Tue Aug 01 14:13:55 GMT 2023","1799","","test_api_and_UI","TestCarsUI","","","test_auto_modify","modify Car via UI and then verify it updated via API"
"passed","Tue Aug 01 14:14:31 GMT 2023","Tue Aug 01 14:14:32 GMT 2023","862","","test_login_UI","TestLoginPopUp","","","test_password_field_visual_representation_n4_3","Verifying that when an error occurs, the password field's border color turns red, and the associated labels also turn red."
